Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Республика Башкортостан;;№ 653;Республика Башкортостан, Краснокамский р-н, с/с Арлановский;55,97138;54,256696;"Магазин
Стоянка";"Кофе
Напитки
Терминал оплаты
Туалет";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;;;;;;;;;;;;;;;
Республика Башкортостан;;№ 655;Республика Башкортостан, г. Салават, улица Губкина, д.2г;53,357277;55,947156;;;49.4 руб.;53.65 руб.;;61.25 руб.;;;;;;;;;;;;;;;
Республика Башкортостан;;№ 656;Республика Башкортостан, город Салават, улица Первомайская, д.48;53,374026;55,926153;;;49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;;;;;;;;;;;;;;;
Республика Башкортостан;;№ 657;Республика Башкортостан, город Стерлитамак, Уфимский тракт, д.2А;53,673887;55,949883;;;49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;;68.05 руб.;;;;;;;;;;;;;
Республика Башкортостан;;№ 658;Республика Башкортостан, город Стерлитамак, Раевский тракт, д.2А;53,639257;55,906451;;;49.4 руб.;53.8 руб.;;61.55 руб.;50 руб.;;;;;;;;;;;;;;
Республика Башкортостан;;№ 659;Республика Башкортостан, трасса Р-240 Уфа-Оренбург,17 км (справа), Уфимский аэропорт;54,566859;55,916726;"Кафетерий
Магазин";"Выпечка
Кофе
Напитки
Туалет";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;;;;;;;;;;;;;;;
Республика Башкортостан;;№ 681;Республика Башкортостан, Уфимский район, с. Жуково, трасса М5 «Урал», 1453 км, слева по ходу движения;54,671932;55,770492;"Магазин
Стоянка, в том числе для большегрузного автотранспорта";"Автотовары
Выпечка
Кофе
Напитки
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет";49.4 руб.;53.8 руб.;59.95 руб.;61.55 руб.;50 руб.;68.05 руб.;;;;;;;;;;;;;
Ульяновская область;456 ;№ 563;Ульяновская область, г. Ульяновск, проспект Нариманова, 111;54,360846;48,341362;;;49.5 руб.;53.65 руб.;;61.7 руб.;50.55 руб.;;26.5 руб.;;70.05 руб.;;;;;;;;;;
Ульяновская область;456 ;№ 600;Ульяновская область, п. Белый Ключ ул. Ленина д. 5;54,230491;48,299421;;;49.5 руб.;53.65 руб.;60.05 руб.;61.7 руб.;50.55 руб.;;26.5 руб.;;;;;;;;;;;;
Ульяновская область;456 ;№ 601;Ульяновская область, г. Ульяновск, Московское шоссе 32А;54,299751;48,288031;;;49.5 руб.;53.65 руб.;60.05 руб.;61.7 руб.;;;;;;;;;;;;;;;
