Регион;Номер эмитента;Номер АЗС;Адрес;Координаты GPS (широта);Координаты GPS (долгота);Объекты сопутствующего сервиса;Дополнительные услуги;АИ-92;АИ-95;ДТ;ДТ ТАНЕКО;АИ-92 Танеко;АИ-98 Танеко;СУГ;Электрозарядка;АИ-98;АИ-95 Танеко;AdBlue;АИ-80;ДТ (зимнее);КПГ;СПГ;;;;
Московская область;451 ;№ 97;Московская область,Подольск г.о., г. Подольск, мкр. Климовск,ул.Индустриальная д.2,;55,371435;37,523814;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.99 руб.;54.79 руб.;61.49 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 98;Московская область, г.Павловский Посад, ул.Большая Покровская, 47а;55,76637;38,65455;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.69 руб.;55.39 руб.;62.59 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 99;Московская область, г.Павловский Посад, ул.Лесная, 32/3;55,75346;38,63638;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";48.49 руб.;53.79 руб.;62.69 руб.;64.39 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 100;"Московская область, Чехов г.о., Автодорога М-2 ""Крым"", 79-й км, 2 стр.";55,07039;37,57031;Магазин;"Автотовары
Наличные с покупкой
Напитки
Туалет";51.29 руб.;55.99 руб.;62.49 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 140;Московская область, г. о Серпухов, тер. Дракино -2 , д1;54,888717;37,293396;;"Автотовары
Наличные с покупкой
Напитки";48.89 руб.;52.29 руб.;59.99 руб.;61.69 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 142;Московская область,  г.о. Солнечногорск д. Брехово, стр. 68 м;55,9268;37,1967;"Кафе
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.69 руб.;56.49 руб.;63.29 руб.;64.99 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 144;Московская область, Сергиев Посад, шоссе Новоугличское, д.74;56,341584;38,126965;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.69 руб.;55.49 руб.;62.99 руб.;64.69 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 145;Московская область, Сергиево-Посадский г.о. д.Селково д.101;56,57656;38,14942;"Кафетерий
Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.19 руб.;55.19 руб.;62.19 руб.;63.89 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 148;Московская область, Подольский г.о а/д Крым,38 км, д 3;55,415605;37,609693;;"WI-FI
Автотовары
Наличные с покупкой
Напитки";50.69 руб.;55.89 руб.;62.39 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 150;Московская область, г.Подольск, проспект Юных Ленинцев, 1б;55,4616;37,55874;;"Автотовары
Наличные с покупкой
Напитки";50.29 руб.;55.69 руб.;61.79 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 151;Московская область, г.Подольск, ул.Пионерская, 1в;55,408649;37,549848;Шинный центр;"Автотовары
Наличные с покупкой
Напитки";50.19 руб.;55.69 руб.;62.59 руб.;64.29 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 152;Московская область,  г. Климовск, ул. Первомайская д. 35;55,36708555;37,53241994;Шиномонтаж;"Автотовары
Наличные с покупкой
Напитки
Туалет";50.29 руб.;55.09 руб.;61.59 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 153;"Московская область, Подольский район, д. Покров, а/д ""Подольск-Домодедово"" (слева)";55,438703;37,624404;Магазин;"Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";50.79 руб.;55.79 руб.;62.99 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 154;Московская область, Подольский г.о а/д Крым,47 км, д 3;55,337949;37,577929;Магазин;"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";50.19 руб.;55.39 руб.;61.69 руб.;63.39 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 156;Московская область, Подольский район, с. Покров, Домодедовское шоссе, 28д.;55,438168;37,623795;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";50.99 руб.;55.89 руб.;62.39 руб.;;;;;;;;;;;;;;;;
Московская область;451 ;№ 161;Московская область, Коломенский район,  д.Андреевка, стр. 1, М5, 90 км, справа;55,220687;38,57918;Магазин;"Автотовары
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";50.49 руб.;56.59 руб.;63.29 руб.;64.99 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 163;Московская область, Солнечногорск г.о., Дурыкино д, Дурыкинский квартал №2 тер., 3 стр.;56,0535;37,12973;"Кафе
Магазин
Шинный центр";"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.69 руб.;55.79 руб.;62.79 руб.;64.49 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 165;Московская область, г.о. Наро-Фоминский, г.Наро-Фоминск, ул.73км Киевского ш. стр.3А;55,370092;36,76275;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;54.89 руб.;62.49 руб.;64.19 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 167;Московская область, Чеховский г.о тер а/д М-2 Крым,79 км. Стр 2;55,073241;37,57095;"Магазин
Шинный центр";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";51.19 руб.;55.79 руб.;62.49 руб.;64.19 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 168;Московская область, Солнечногорский район, д. Чашниково, М10, 44 км, слева;56,0383;37,16083;Магазин;"Автотовары
Зарядная станция для электромобилей (ЭЗС)
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";50.09 руб.;55.69 руб.;61.89 руб.;63.59 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 169;Московская область,Одинцовский р-н, г. Краснознаменск, 41 км. Минского шоссе.;55,605765;37,050089;"Автомойка
Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.19 руб.;55.49 руб.;62.89 руб.;64.59 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 170;Московская область, Домодедовский район , г. Домодедово Объездное шоссе д.1;55,4539997;37,780993;"Кафетерий
Магазин";"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Пит Стоп (персональная консультация)
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.09 руб.;54.39 руб.;62.09 руб.;63.79 руб.;;;;19 руб.;;;;;;;;;;;
Московская область;451 ;№ 206;г. Москва, поселение Московский вн.тер.г., Киевкое шоссе 22-й (п. Московский) км, 4А д., 1 стр;55,63367;37,44523;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";50.89 руб.;56.29 руб.;62.79 руб.;64.49 руб.;;;;;69.39 руб.;;;;;;;;;;
Московская область;451 ;№ 231;Московская область, Наро-Фоминский г.о., Деденево д., 84 зд.;55,27008;36,69411;Магазин;"WI-FI
Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (круглосуточно)";48.89 руб.;53.29 руб.;60.29 руб.;61.99 руб.;;;;;;;;;;;;;;;
Московская область;451 ;№ 271;Московская область, г .Домодедово,16 км. МБК в сторону г. Бронницы;55,365792;38,037394;Магазин;"Автотовары
Выпечка
Кофе
Наличные с покупкой
Напитки
Терминал оплаты
Туалет";49.89 руб.;55.69 руб.;63.49 руб.;65.19 руб.;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 218;г. Санкт-Петербург, проспект Стачек,115 а;59,848769;30,226234;"Кафе
Магазин
Стоянка
Шиномонтаж";"WI-FI
Автотовары
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Подкачка шин
Протирка стекол
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;70.29 руб.;;;;;;;;;;
Санкт-Петербург;458 ;№ 237;г. Санкт-Петербург, проспект Народного Ополчения, 201/а;59,82452431;30,18930385;"Кафе
Магазин
Шиномонтаж";"WI-FI
Автотовары
Выпечка
Кофе
Подкачка шин
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 283;г. Санкт-Петербург, ул. Кузнецовская, 35;59,871843;30,345638;"Кафе GreenLight
Магазин
Шиномонтаж";"WI-FI
Выпечка
Подкачка шин
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 318;г. Санкт-Петербург, Горское шоссе,1;60,106401;30,244308;"Кафе GreenLight
Магазин";"WI-FI
Автотовары
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 324;г. Санкт-Петербург, ул. Народная, 100;59,88558;30,490016;;Терминал оплаты;50.89 руб.;55.24 руб.;63.64 руб.;;;;;;;;;;;;;;;;
Санкт-Петербург;458 ;№ 331;г. Санкт-Петербург, ул. Вербная, 23;60,023259;30,29491;"Кафе
Магазин
Шиномонтаж";"WI-FI
Автокафе
Автотовары
Зарядка мобильных устройств
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;0 руб.;70.29 руб.;;;;;;;;;;
Ленинградская область;458 ;№ 59;Ленинградская область, Всеволожский м. район, Заневское г.п.д. Суоранда, ул. Строителей, з/у  17;59,94404;30,603915;Стоянка;"WI-FI
Автотовары
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Подкачка шин
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;;;;;;;;;;;;
Ленинградская область;458 ;№ 60;Ленинградская область, Всеволжский р-н, п.Скотное, Р33, 15км;60,17834;30,362928;Шиномонтаж;;50.89 руб.;55.24 руб.;63.64 руб.;;;;;;;;;;;;;;;;
Ленинградская область;458 ;№ 196;Ленинградская область, Гатчинский район, д. Поддубье, Р23, 69 км, справа;59,386985;29,968772;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автокафе
Автотовары
Бесплатная горячая питьевая вода
Выпечка
Кофе
Подкачка шин
Туалет";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;;;;;;;;;;;;
Ленинградская область;458 ;№ 222;Ленинградская область, Всеволжский район, г. Сертолово, ул. Молодцова, 1;60,140699;30,211322;"Кафе
Стоянка";"WI-FI
Автотовары
Кофе
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;;;;;;;;;;;
Ленинградская область;458 ;№ 336;Ленинградская область, Тосненский район, д. Бабино-2, М10, 595 км, справа;59,218622;31,480255;"Кафе GreenLight
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;64.95 руб.;;;;;;;;;;;;;;;
Ленинградская область;458 ;№ 357;Ленинградская область, Ломоносовский район, д. Кипень, А180, 42 км, справа;59,67599;29,86249;"Кафе
Магазин";"WI-FI
Автотовары
Долив жидкости в бачок стеклоомывателя
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";51.44 руб.;55.89 руб.;64.14 руб.;;;;;;;;;;;;;;;;
Республика Марий Эл;460 ;№ 91;Республика Марий Эл, г. Йошкар-Ола, ул. Строителей, 96а;56,62074393;47,85630117;"Магазин
Стоянка";"Бесплатная горячая питьевая вода
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.45 руб.;53.7 руб.;59.5 руб.;61.3 руб.;;;;;;;;;;;;;;;
Республика Марий Эл;460 ;№ 210;Республика Марий Эл, Медведевский район, п. Новотроицк, Кокшайский тракт, 8 км, с1;56,570061;47,865101;"Магазин
Стоянка";"Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";49.45 руб.;53.7 руб.;59.5 руб.;61.3 руб.;;67.95 руб.;25 руб.;;;;;;;;;;;;
Республика Марий Эл;460 ;№ 216;Республика Марий Эл, г. Йошкар-Ола, ул. Тукая, 1а;56,612955;47,962181;"Магазин
Стоянка";"Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.45 руб.;53.7 руб.;59.5 руб.;61.3 руб.;50.15 руб.;;25 руб.;;;;;;;;;;;;
Республика Марий Эл;460 ;№ 247;Республика Марий Эл, г. Козьмодемьянск, ул. Промышленная, 44в;56,320518;46,556385;"Магазин
Стоянка";"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.45 руб.;53.7 руб.;59.5 руб.;61.3 руб.;50.15 руб.;;25 руб.;;;;;;;;;;;;
Республика Марий Эл;460 ;№ 286;Республика Марий Эл, Волжский район, д. Малые Параты, ул. Центральная, 1/1;55,91637;48,370811;Магазин;"Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";49.45 руб.;53.7 руб.;59.5 руб.;61.3 руб.;;;25 руб.;;;;;;;;;;;;
Тукаевский район;;№ 1;Республика Татарстан, г. Набережные Челны, Альметьевский тракт, 7;55,658689;52,256042;"Кафе
Магазин
Стоянка
Стоянка, в том числе для большегрузного автотранспорта";"WI-FI
Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Зарядная станция для электромобилей (ЭЗС)
Кофе
Напитки
Подкачка шин
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;68.15 руб.;25 руб.;;;;;;;;;;;;
Тукаевский район;;№ 2;Республика Татарстан, г. Набережные Челны, Альметьевский тракт, 8А;55,658045;52,25776;Магазин;"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;68.15 руб.;25 руб.;;;;;;;;;;;;
Тукаевский район;;№ 131;Республика Татарстан, г. Набережные Челны, ул. Старосармановская, 27;55,671229;52,33886;Магазин;"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
Тукаевский район;;№ 132;Республика Татарстан, г. Набережные Челны, пр. Казанский, 107А;55,66576;52,308647;"Кафетерий
Магазин
Стоянка";"WI-FI
Автотовары
Выпечка
Детский игровой уголок
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;68.15 руб.;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 183;Республика Татарстан, г.Казань, ул.Пролетарская 17 А;55,80523;49,076019;"Кафетерий
Магазин";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 184;Республика Татарстан, г.Казань, ул.Фатыха Амирхана, 21 А;55,824457;49,133124;"Автомойка
Кафетерий
Магазин";"Автотовары
Бесплатная горячая питьевая вода
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Зарядная станция для электромобилей (ЭЗС)
Кофе
Напитки
Подкачка шин (в теплое время года)
Постомат
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;0 руб.;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 200;Республика Татарстан, г.Казань, ул.Гаврилова, 6 А;55,825908;49,16136;Магазин;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Постомат
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 212;Республика Татарстан, г.Казань, ул.Химическая, 3 А;55,863021;49,001963;"Автомойка
Магазин";"WI-FI
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 213;Республика Татарстан, г.Казань, ул.Гвардейская, 55 Б;55,773511;49,1756996;Магазин;"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 214;Республика Татарстан, г.Казань, п.Киндери, ул.Азина, 101А;55,876083;49,251703;Магазин;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядная станция для электромобилей (ЭЗС)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;;68.15 руб.;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 257;Республика Татарстан, г.Казань, ул.Девятаева, 15 А;55,774452;49,105987;Магазин;"Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 258;Республика Татарстан, г.Казань, ул.Мулланура Вахитова, 6 А;55,814002;49,08462;"Кафетерий
Магазин
Стоянка";"Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядка мобильных устройств
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Постомат
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 259;Республика Татарстан, г.Казань, ул.?Сары Садыковой, 65;55,769798;49,122163;Магазин;"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 284;Республика Татарстан, г.Казань, ул.Оренбургский тракт, 195 А;55,7338;49,1845;Магазин;"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 289;Республика Татарстан, г.Казань, ул.Военный 33-й городок, 7 А;55,739276;49,161374;Магазин;"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 311;Республика Татарстан, г.Казань, ул.Васильченко, 1 В;55,8353;49,0593;;"Долив жидкости в бачок стеклоомывателя (в теплое время года)
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 326;Республика Татарстан, г.Казань,  Проспект Победы, 72 Г;55,753353;49,215333;Магазин;"WI-FI
Автокафе
Автотовары
Выпечка
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Наличные с покупкой
Напитки
Подкачка шин (в теплое время года)
Постомат
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Раздельные туалетные комнаты, в том числе для людей с ограниченными возможностями
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;;60.95 руб.;50.2 руб.;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 332;Республика Татарстан, г.Казань, Высокогорский район, М7, 817 км;55,876013;49,273707;;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 333;Республика Татарстан, г.Казань, Проспект Победы, 105 А;55,773584;49,217601;Магазин;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Пылесос
Терминал оплаты
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;;;;;;;;;;;;
г.Казань,  районы прилегающие к городу.;452 ;№ 338;Республика Татарстан, г.Казань, ул. Отрадная, 5А;55,7661;49,1697;;"Автотовары
Долив жидкости в бачок стеклоомывателя (в теплое время года)
Зарядная станция для электромобилей (ЭЗС)
Кофе
Напитки
Подкачка шин (в теплое время года)
Протирка стекол, фар и номерных знаков (в теплое время года)
Туалет
Услуга заправщика (в дневное время)";49.5 руб.;53.7 руб.;59.5 руб.;60.95 руб.;;;;0 руб.;;;;;;;;;;;
